Product ID,Style,Fabric,Colour
AW23-908J-C BOUCLE CREAM,AW23-908J-C,BOUCLE ,CREAM 
AW23-910M-B HOTFIX MESH BLACK,AW23-910M-B,HOTFIX MESH ,BLACK 
AW23-911M-B VELVET BLACK,AW23-911M-B,VELVET ,BLACK 
AW23-912M-B BONDED CREPE BLACK,AW23-912M-B,BONDED CREPE ,BLACK 
AW23-915T-BL SEQUIN NAVY,AW23-915T-BL,SEQUIN ,NAVY 
AW23-916S-C KNIT CREAM,AW23-916S-C,KNIT ,CREAM 
AW23-917J-B SEQUIN CHECK BLACK,AW23-917J-B,SEQUIN CHECK ,BLACK 
AW23-918M-B LACE BLACK,AW23-918M-B,LACE,BLACK
AW23-310-C RHINESTONE CREAM,AW23-310-C,RHINESTONE,CREAM
AW23-920-R KNIT RED,AW23-920-R,KNIT ,RED
AW23-921-GD METALLIC BOUCLE GOLD,AW23-921-GD,METALLIC BOUCLE,GOLD
AW23-922M-C TEXTURED WOOL CREAM,AW23-922M-C,TEXTURED WOOL,CREAM
AW23-923S-B LACE BLACK,AW23-923S-B,LACE,BLACK
AW23-924J-C SEQUIN CREAM,AW23-924J-C,SEQUIN,CREAM
AW23-925S-B BONDED CREPE BLACK,AW23-925S-B,BONDED CREPE ,BLACK
AW23-927T-C HOTFIX MESH CREAM,AW23-927T-C,HOTFIX MESH ,CREAM
AW23-929S-W SEQUIN BOUCLE WHITE,AW23-929S-W,SEQUIN BOUCLE,WHITE
AW23-930J-W SEQUIN BOUCLE WHITE,AW23-930J-W,SEQUIN BOUCLE,WHITE
AW23-931S-W SEQUIN BOUCLE WHITE,AW23-931S-W,SEQUIN BOUCLE,WHITE
AW23-932M-C SEQUIN CREAM,AW23-932M-C,SEQUIN ,CREAM
AW23-933T-C SEQUIN CREAM,AW23-933T-C,SEQUIN ,CREAM
AW23-945XSK-C SEQUIN CREAM,AW23-945XSK-C,SEQUIN ,CREAM
AW23-947M-B HEAVY POLY CREPE BLACK,AW23-947M-B,HEAVY POLY CREPE,BLACK
AW23-948M-R CREPE RED,AW23-948M-R,CREPE,RED
AW23-949M-G BOUCLE GREEN,AW23-949M-G,BOUCLE ,GREEN
AW23-950P-B BONDED CREPE BLACK,AW23-950P-B,BONDED CREPE,BLACK
AW23-934S-S PAISLEY SEQUIN SILVER,AW23-934S-S,PAISLEY SEQUIN,SILVER
AW23-935S-W LACE WHITE,AW23-935S-W,LACE,WHITE
AW23-936S-W LACE WHITE,AW23-936S-W,LACE,WHITE
AW23-937S-B LACE BLACK,AW23-937S-B,LACE,BLACK
SC23-903MSK-C FLUFFY KNIT CREAM,SC23-903MSK-C,FLUFFY KNIT,CREAM
SC23-903SK-P FLUFFY KNIT PINK,SC23-903SK-P,FLUFFY KNIT,PINK
SC23-902J-P FLUFFY KNIT PINK,SC23-902J-P,FLUFFY KNIT,PINK
AW23-938P-B BLACK/GOLD BOUCLE BLACK,AW23-938P-B,BLACK/GOLD BOUCLE,BLACK
AW23-939J-B BLACK/GOLD BOUCLE BLACK,AW23-939J-B,BLACK/GOLD BOUCLE,BLACK
AW23-940SK-B SEQUIN KNIT BLACK SEQUIN,AW23-940SK-B,SEQUIN KNIT,BLACK SEQUIN
AW23-941S-C SEQUIN KNIT CREAM,AW23-941S-C,SEQUIN KNIT,CREAM
AW23-946SK-BL KNIT NAVY,AW23-946SK-BL,KNIT,NAVY
AW23-135S-C SEQUIN CREAM,AW23-135S-C,SEQUIN,CREAM
